NrSiblings,MathScore,ReadingScore,WritingScore,Gender_male,EthnicGroup_group A,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E,LunchType_standard,TestPrep_completed,TestPrep_none,ParentMaritalStatus_divorced,ParentMaritalStatus_married,ParentMaritalStatus_single,ParentMaritalStatus_widowed,TransportMeans_private,TransportMeans_school_bus
3,62,58,57,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True
3,39,64,57,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True
3,64,55,64,True,False,False,False,True,False,True,True,False,True,False,False,False,True,False
1,42,51,49,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
3,59,56,54,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True
2,47,48,40,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
2,44,41,38,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True
5,28,25,21,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True
2,82,79,83,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False
2,62,75,73,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True
1,60,68,68,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True
0,49,50,52,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False
0,49,45,45,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False
2,50,47,54,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True
0,74,64,64,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False
3,40,38,33,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
0,73,80,82,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False
2,73,81,86,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True
0,71,71,74,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False
3,57,69,67,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True
2,75,87,83,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False
4,27,34,36,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False
1,68,77,69,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False
3,45,46,52,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False
4,81,87,94,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False
5,63,65,61,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True
0,59,69,66,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True
2,61,69,64,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
3,64,66,62,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
7,79,67,67,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True
1,68,74,74,True,False,False,False,True,False,True,True,False,False,False,True,False,True,False
3,87,92,91,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
3,61,44,48,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True
1,100,88,94,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True
0,58,67,72,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
3,87,100,100,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False
0,66,63,64,True,False,False,False,False,True,True,True,False,False,False,True,False,False,True
2,52,76,70,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True
3,72,64,73,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True
4,79,90,99,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
6,63,55,50,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
0,54,53,47,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True
1,47,56,51,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
3,98,99,100,False,False,False,False,False,True,True,True,False,False,True,False,False,False,True
4,84,77,74,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False
1,72,83,79,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
2,75,80,77,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False
0,54,64,63,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False
3,55,69,65,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True
1,76,90,86,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True
3,88,87,90,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True
1,90,94,95,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False
3,63,57,56,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
3,82,79,73,True,False,False,False,False,True,True,False,True,False,False,True,False,False,True
2,86,94,85,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True
3,72,68,67,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False
3,64,76,74,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
2,77,81,72,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False
0,52,49,52,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True
1,87,84,82,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True
1,52,36,40,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
2,89,75,71,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
6,70,78,80,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
1,76,80,76,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
1,56,54,47,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False
1,51,54,41,True,False,True,False,False,False,True,True,False,True,False,False,False,True,False
0,67,54,54,True,False,False,False,False,True,True,False,True,True,False,False,False,False,True
1,59,66,67,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False
0,73,61,70,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False
1,76,72,71,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
2,60,62,65,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
1,41,54,54,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
1,57,43,47,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True
3,90,74,79,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False
1,21,38,33,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
1,65,73,79,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False
3,100,100,95,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False
2,62,67,69,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False
2,57,68,64,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True
1,54,49,47,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False
2,58,65,58,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False
3,69,88,88,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True
1,67,75,79,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
2,58,59,58,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True
2,62,87,89,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
3,70,63,66,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True
2,82,78,74,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False
3,75,88,85,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
2,48,53,52,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True
1,52,53,49,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True
3,76,89,86,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False
0,96,100,100,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True
5,53,51,51,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
1,62,79,83,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
2,70,84,79,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False
5,76,75,77,True,True,False,False,False,False,True,True,False,True,False,False,False,False,True
3,91,86,76,True,False,False,False,False,True,True,False,True,False,True,False,False,False,True
3,76,84,78,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True
2,63,67,70,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
1,41,50,52,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
1,81,92,89,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True
2,44,53,56,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
2,70,76,77,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True
2,54,72,65,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True
0,99,100,100,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True
2,60,68,75,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
1,46,64,66,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
3,50,50,47,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False
2,63,67,68,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False
5,61,65,62,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False
1,75,73,62,True,False,False,False,False,True,True,False,True,False,True,False,False,False,True
4,62,66,68,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False
3,47,51,45,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True
1,74,86,85,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True
2,66,65,69,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True
2,73,81,77,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True
3,62,64,66,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
4,79,62,63,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False
1,69,85,87,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True
4,60,54,52,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True
1,57,67,63,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
7,56,56,52,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
3,47,54,57,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
3,80,80,77,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1,66,83,86,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False
3,63,79,75,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True
2,69,77,69,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True
2,58,70,69,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
1,58,40,42,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
2,71,69,76,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True
4,84,62,63,True,False,False,False,False,True,True,False,True,False,True,False,False,False,True
2,83,81,77,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True
1,73,80,76,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
2,58,61,66,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
3,77,77,77,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True
3,35,28,27,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
2,42,62,60,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True
1,61,51,57,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
1,87,91,81,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
2,86,84,76,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False
3,80,84,86,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
3,33,41,39,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2,64,75,68,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True
1,59,55,54,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False
4,57,69,75,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True
0,89,86,74,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True
3,55,65,62,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
3,88,81,76,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True
3,55,67,76,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True
2,43,55,52,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
5,72,72,71,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
0,58,50,55,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True
4,68,72,64,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True
3,93,97,98,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True
0,78,64,67,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False
1,47,43,43,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False
2,67,86,83,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True
3,94,88,79,True,False,False,False,False,True,True,False,True,True,False,False,False,False,True
3,85,83,85,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True
1,84,77,80,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True
2,62,65,67,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True
4,62,59,72,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True
2,57,53,53,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False
1,84,80,80,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
1,75,69,67,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
4,82,84,85,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False
2,58,50,43,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True
1,74,73,69,True,False,False,False,True,False,True,False,True,True,False,False,False,False,True
3,82,74,69,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False
2,91,77,75,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True
1,58,70,68,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False
2,63,63,60,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False
2,70,60,54,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True
2,47,49,49,True,True,False,False,False,False,True,True,False,False,False,True,False,False,True
4,70,82,83,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
3,60,70,70,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False
3,80,80,72,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True
0,54,52,52,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False
1,62,73,70,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True
5,62,71,66,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
1,80,78,78,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True
1,65,80,78,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
2,79,79,78,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True
2,45,50,52,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
1,99,93,90,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False
2,76,73,68,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False
1,57,41,40,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True
2,61,73,79,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
3,71,73,78,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
5,93,94,99,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True
2,71,76,70,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
2,69,63,61,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True
1,57,48,42,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False
2,48,53,59,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
2,65,70,71,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False
1,85,83,74,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True
3,83,78,73,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True
3,82,90,91,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False
4,57,62,73,False,False,False,False,False,True,True,True,False,False,False,True,False,False,True
1,65,86,80,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True
2,73,56,57,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True
2,45,48,46,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False
3,75,80,86,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True
2,67,76,76,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
0,36,45,46,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
3,78,80,79,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True
0,99,83,90,True,False,False,False,False,True,True,True,False,False,True,False,False,True,False
1,64,87,80,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True
0,85,73,74,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False
1,79,77,78,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True
2,76,70,68,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True
2,83,71,68,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False
1,61,59,55,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False
2,66,74,76,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True
3,80,78,82,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True
1,66,61,59,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True
2,47,41,44,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True
1,73,75,69,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True
2,39,45,50,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
2,89,86,75,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False
2,76,75,77,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False
4,55,53,52,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
5,66,83,80,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True
1,82,77,65,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True
2,76,76,85,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True
7,69,67,69,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False
5,100,88,83,True,False,False,False,False,True,True,True,False,True,False,False,False,True,False
2,52,52,45,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
3,56,73,70,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
5,48,56,52,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2,73,76,80,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True
3,62,58,54,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True
0,67,61,68,True,False,False,False,True,False,True,True,False,False,False,True,False,True,False
2,70,68,70,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
3,73,66,66,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False
3,74,80,88,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False
1,83,72,78,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True
2,61,69,67,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False
1,55,64,63,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
2,64,77,82,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
3,74,85,78,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False
2,70,80,80,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False
5,40,52,51,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
1,39,45,42,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False
3,82,90,94,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True
1,61,61,62,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True
2,29,23,19,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True
5,82,75,77,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True
2,39,54,49,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True
2,70,59,61,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True
3,45,36,34,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
3,61,55,52,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True
1,90,78,81,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True
1,83,93,95,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
2,62,69,67,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
2,78,71,70,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False
2,50,51,44,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
3,23,37,26,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
3,35,55,60,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
1,61,62,54,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True
0,62,74,64,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
1,66,74,72,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True
3,64,70,65,True,False,False,False,True,False,True,True,False,False,False,True,False,True,False
2,78,72,67,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True
4,72,80,75,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False
2,62,61,57,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True
0,76,93,95,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False
2,92,76,79,True,False,False,False,False,True,True,False,True,True,False,False,False,True,False
0,52,65,69,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False
4,67,57,53,True,False,False,False,False,True,True,False,True,False,True,False,False,False,True
1,61,76,78,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True
1,45,57,57,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False
2,55,68,66,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
3,64,74,73,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True
2,63,61,61,True,True,False,False,False,False,True,False,True,False,True,False,False,True,False
1,40,65,67,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
1,77,88,87,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False
1,56,61,57,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True
3,87,85,79,True,False,True,False,False,False,True,True,False,False,False,True,False,True,False
2,53,58,59,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False
3,26,33,31,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
1,60,60,59,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True
2,51,59,62,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False
2,69,58,53,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False
3,64,67,63,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False
2,44,64,58,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
5,71,83,84,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True
3,86,78,72,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False
4,45,73,70,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
0,76,75,73,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False
1,84,98,97,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False
0,60,71,74,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False
2,82,91,83,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True
2,85,95,100,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
1,73,84,78,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False
1,67,64,63,True,True,False,False,False,False,True,False,True,False,True,False,False,True,False
