ParentEduc,PracticeSport,IsFirstChild,NrSiblings,WklyStudyHours,MathScore,ReadingScore,WritingScore,Overall_Score,Grades,Gender_male,EthnicGroup_group A,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E,LunchType_standard,TestPrep_completed,TestPrep_none,ParentMaritalStatus_divorced,ParentMaritalStatus_married,ParentMaritalStatus_single,ParentMaritalStatus_widowed,TransportMeans_private,TransportMeans_school_bus
3,3,2,2,0,33,41,43,39.0,4,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False
1,3,2,3,2,84,86,87,85.67,1,False,False,False,False,False,True,True,True,False,False,True,False,False,False,True
1,3,1,2,0,52,55,49,52.0,4,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False
0,2,1,1,2,61,60,60,60.33,3,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False
6,2,2,3,2,0,17,10,9.0,4,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
6,3,2,2,0,39,39,34,37.33,4,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True
1,3,2,5,0,62,61,55,59.33,4,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False
6,3,2,0,0,59,58,59,58.67,4,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
6,1,2,1,1,63,62,58,61.0,3,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False
6,3,2,4,0,45,37,37,39.67,4,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True
5,2,1,3,0,61,73,75,69.67,3,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
1,2,1,3,3,62,58,57,59.0,4,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True
1,3,2,3,0,39,64,57,53.33,4,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True
5,3,2,3,2,64,55,64,61.0,3,True,False,False,False,True,False,True,True,False,True,False,False,False,True,False
1,2,2,1,0,42,51,49,47.33,4,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
6,1,2,3,0,59,56,54,56.33,4,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True
6,3,2,2,1,47,48,40,45.0,4,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
1,3,1,2,0,44,41,38,41.0,4,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True
6,3,1,5,0,28,25,21,24.67,4,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True
0,2,2,2,0,82,79,83,81.33,1,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False
6,3,2,2,2,62,75,73,70.0,2,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True
4,1,2,1,0,60,68,68,65.33,3,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True
1,2,2,0,2,49,50,52,50.33,4,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False
3,3,2,0,3,49,45,45,46.33,4,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False
5,3,1,2,0,50,47,54,50.33,4,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True
1,2,2,0,0,74,64,64,67.33,3,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False
3,1,0,3,0,40,38,33,37.0,4,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
5,3,2,0,0,73,80,82,78.33,2,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False
5,3,2,2,1,73,81,86,80.0,1,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True
1,3,2,0,0,71,71,74,72.0,2,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False
5,2,2,3,1,57,69,67,64.33,3,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True
6,3,2,2,2,75,87,83,81.67,1,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False
3,2,1,4,0,27,34,36,32.33,4,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False
3,3,1,1,1,68,77,69,71.33,2,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False
1,2,1,3,2,45,46,52,47.67,4,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False
5,2,2,4,0,81,87,94,87.33,1,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False
6,2,2,5,0,63,65,61,63.0,3,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True
5,1,2,0,1,59,69,66,64.67,3,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True
5,2,2,2,2,61,69,64,64.67,3,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
2,2,2,3,1,64,66,62,64.0,3,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
5,3,1,7,0,79,67,67,71.0,2,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True
2,3,1,1,0,68,74,74,72.0,2,True,False,False,False,True,False,True,True,False,False,False,True,False,True,False
1,2,2,3,0,87,92,91,90.0,0,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
3,2,1,3,0,61,44,48,51.0,4,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True
5,2,2,1,2,100,88,94,94.0,0,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True
5,3,2,0,0,58,67,72,65.67,3,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
4,3,1,3,0,87,100,100,95.67,0,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False
0,3,2,0,0,66,63,64,64.33,3,True,False,False,False,False,True,True,True,False,False,False,True,False,False,True
1,3,2,2,0,52,76,70,66.0,3,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True
6,2,1,3,0,72,64,73,69.67,3,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True
1,3,2,4,2,79,90,99,89.33,1,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
3,2,1,6,0,63,55,50,56.0,4,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
1,3,2,0,0,54,53,47,51.33,4,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True
5,1,2,1,1,47,56,51,51.33,4,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
2,2,2,3,1,98,99,100,99.0,0,False,False,False,False,False,True,True,True,False,False,True,False,False,False,True
3,3,2,4,0,84,77,74,78.33,2,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False
2,1,1,1,0,72,83,79,78.0,2,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
2,1,1,2,0,75,80,77,77.33,2,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False
6,2,2,0,2,54,64,63,60.33,3,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False
5,3,1,3,0,55,69,65,63.0,3,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True
2,1,2,1,0,76,90,86,84.0,1,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True
1,3,2,3,1,88,87,90,88.33,1,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True
5,2,2,1,0,90,94,95,93.0,0,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False
3,3,1,3,3,63,57,56,58.67,4,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
5,2,1,3,1,82,79,73,78.0,2,True,False,False,False,False,True,True,False,True,False,False,True,False,False,True
3,1,2,2,2,86,94,85,88.33,1,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True
0,0,1,3,0,72,68,67,69.0,3,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False
5,2,1,3,1,64,76,74,71.33,2,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
4,1,2,2,1,77,81,72,76.67,2,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False
2,2,2,0,0,52,49,52,51.0,4,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True
4,3,1,1,1,87,84,82,84.33,1,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True
6,2,2,1,1,52,36,40,42.67,4,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
5,2,2,2,0,89,75,71,78.33,2,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
5,1,1,6,1,70,78,80,76.0,2,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
2,3,2,1,2,76,80,76,77.33,2,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
2,3,2,1,1,56,54,47,52.33,4,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False
6,3,2,1,0,51,54,41,48.67,4,True,False,True,False,False,False,True,True,False,True,False,False,False,True,False
3,3,2,0,1,67,54,54,58.33,4,True,False,False,False,False,True,True,False,True,True,False,False,False,False,True
1,3,2,1,0,59,66,67,64.0,3,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False
5,3,2,0,2,73,61,70,68.0,3,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False
6,3,1,1,0,76,72,71,73.0,2,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
5,2,1,2,0,60,62,65,62.33,3,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
5,2,0,1,1,41,54,54,49.67,4,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
3,3,1,1,0,57,43,47,49.0,4,True,True,False,False,False,False,True,False,True,False,False,True,False,False,True
5,3,2,3,2,90,74,79,81.0,1,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False
5,2,2,1,1,21,38,33,30.67,4,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
2,3,2,1,1,65,73,79,72.33,2,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False
1,2,1,3,0,100,100,95,98.33,0,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False
6,3,1,2,0,62,67,69,66.0,3,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False
1,3,2,2,1,57,68,64,63.0,3,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True
2,3,1,1,0,54,49,47,50.0,4,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False
6,1,1,2,1,58,65,58,60.33,3,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False
5,2,2,3,1,69,88,88,81.67,1,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True
3,2,2,1,0,67,75,79,73.67,2,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
0,3,2,2,1,58,59,58,58.33,4,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True
1,2,2,2,0,62,87,89,79.33,2,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False
1,2,1,3,2,70,63,66,66.33,3,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True
1,3,2,2,0,82,78,74,78.0,2,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False
5,3,2,3,0,75,88,85,82.67,1,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
4,1,1,2,0,48,53,52,51.0,4,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True
3,3,2,1,0,52,53,49,51.33,4,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True
4,1,2,3,1,76,89,86,83.67,1,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False
2,3,2,0,0,96,100,100,98.67,0,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True
3,3,2,5,0,53,51,51,51.67,4,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
4,2,1,1,2,62,79,83,74.67,2,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
3,2,2,2,0,70,84,79,77.67,2,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False
3,2,2,5,2,76,75,77,76.0,2,True,True,False,False,False,False,True,True,False,True,False,False,False,False,True
6,3,1,3,1,91,86,76,84.33,1,True,False,False,False,False,True,True,False,True,False,True,False,False,False,True
5,1,2,3,0,76,84,78,79.33,2,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True
1,3,2,2,0,63,67,70,66.67,3,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
2,3,1,1,1,41,50,52,47.67,4,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
4,3,2,1,0,81,92,89,87.33,1,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True
3,3,1,2,1,44,53,56,51.0,4,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
1,2,2,2,1,70,76,77,74.33,2,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True
4,2,2,2,0,54,72,65,63.67,3,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True
6,2,2,0,0,99,100,100,99.67,0,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True
4,3,2,2,1,60,68,75,67.67,3,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False
5,3,2,1,0,46,64,66,58.67,4,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
3,3,2,3,3,50,50,47,49.0,4,False,False,False,False,False,True,True,False,True,False,True,False,False,True,False
1,3,1,2,1,63,67,68,66.0,3,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False
1,1,2,5,1,61,65,62,62.67,3,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False
3,1,2,1,1,75,73,62,70.0,2,True,False,False,False,False,True,True,False,True,False,True,False,False,False,True
6,3,1,4,0,62,66,68,65.33,3,True,False,False,False,True,False,True,True,False,False,True,False,False,True,False
6,2,1,3,1,47,51,45,47.67,4,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True
2,3,2,1,1,74,86,85,81.67,1,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True
1,3,2,2,0,66,65,69,66.67,3,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True
5,3,1,2,1,73,81,77,77.0,2,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True
6,3,1,3,3,62,64,66,64.0,3,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
5,2,2,4,3,79,62,63,68.0,3,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False
4,2,2,1,1,69,85,87,80.33,1,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True
1,2,1,4,1,60,54,52,55.33,4,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True
0,1,2,1,0,57,67,63,62.33,3,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True
3,0,1,7,2,56,56,52,54.67,4,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
5,2,2,3,2,47,54,57,52.67,4,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
2,2,2,3,0,80,80,77,79.0,2,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1,2,1,1,1,66,83,86,78.33,2,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False
5,3,2,3,1,63,79,75,72.33,2,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True
1,3,2,2,0,69,77,69,71.67,2,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True
1,2,2,2,0,58,70,69,65.67,3,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
5,2,2,1,1,58,40,42,46.67,4,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False
6,0,2,2,1,71,69,76,72.0,2,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True
2,2,2,4,0,84,62,63,69.67,3,True,False,False,False,False,True,True,False,True,False,True,False,False,False,True
3,2,1,2,0,83,81,77,80.33,1,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True
5,2,2,1,1,73,80,76,76.33,2,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
5,3,1,2,3,58,61,66,61.67,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
6,3,2,3,1,77,77,77,77.0,2,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True
5,3,2,3,0,35,28,27,30.0,4,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
3,3,2,2,0,42,62,60,54.67,4,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True
1,2,1,1,0,61,51,57,56.33,4,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True
3,3,2,1,0,87,91,81,86.33,1,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
6,2,1,2,0,86,84,76,82.0,1,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False
1,3,2,3,1,80,84,86,83.33,1,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
3,2,1,3,1,33,41,39,37.67,4,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3,3,1,2,1,64,75,68,69.0,3,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True
6,1,1,1,0,59,55,54,56.0,4,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False
3,2,2,4,0,57,69,75,67.0,3,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True
1,3,2,0,2,89,86,74,83.0,1,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True
6,3,1,3,0,55,65,62,60.67,3,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
6,2,1,3,0,88,81,76,81.67,1,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True
1,2,0,3,2,55,67,76,66.0,3,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True
4,3,1,2,1,43,55,52,50.0,4,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
5,3,2,5,0,72,72,71,71.67,2,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
3,2,2,0,0,58,50,55,54.33,4,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True
0,3,1,4,0,68,72,64,68.0,3,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True
5,2,2,3,2,93,97,98,96.0,0,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True
5,2,2,0,0,78,64,67,69.67,3,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False
1,2,0,1,0,47,43,43,44.33,4,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False
2,3,2,2,0,67,86,83,78.67,2,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True
6,3,2,3,2,94,88,79,87.0,1,True,False,False,False,False,True,True,False,True,True,False,False,False,False,True
2,3,1,3,2,85,83,85,84.33,1,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True
1,2,1,1,2,84,77,80,80.33,1,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True
2,2,1,2,1,62,65,67,64.67,3,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True
6,3,2,4,1,62,59,72,64.33,3,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True
5,2,2,2,2,57,53,53,54.33,4,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False
1,3,2,1,0,84,80,80,81.33,1,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
3,0,2,1,2,75,69,67,70.33,2,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
2,2,1,4,0,82,84,85,83.67,1,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False
5,2,1,2,1,58,50,43,50.33,4,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True
6,2,2,1,1,74,73,69,72.0,2,True,False,False,False,True,False,True,False,True,True,False,False,False,False,True
1,3,1,3,1,82,74,69,75.0,2,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False
1,2,1,2,0,91,77,75,81.0,1,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True
3,3,2,1,0,58,70,68,65.33,3,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False
3,3,2,2,1,63,63,60,62.0,3,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False
3,3,1,2,2,70,60,54,61.33,3,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True
6,3,2,2,0,47,49,49,48.33,4,True,True,False,False,False,False,True,True,False,False,False,True,False,False,True
5,2,0,4,1,70,82,83,78.33,2,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
6,3,2,3,0,60,70,70,66.67,3,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False
4,3,1,3,3,80,80,72,77.33,2,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True
3,3,2,0,0,54,52,52,52.67,4,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False
5,3,1,1,0,62,73,70,68.33,3,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True
1,3,1,5,1,62,71,66,66.33,3,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
1,2,0,1,0,80,78,78,78.67,2,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True
6,3,2,1,2,65,80,78,74.33,2,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
5,3,1,2,0,79,79,78,78.67,2,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True
6,2,1,2,0,45,50,52,49.0,4,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
3,3,2,1,0,99,93,90,94.0,0,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False
3,3,1,2,0,76,73,68,72.33,2,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False
6,3,1,1,1,57,41,40,46.0,4,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True
2,3,1,2,1,61,73,79,71.0,2,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
3,2,1,3,0,71,73,78,74.0,2,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
1,2,2,5,2,93,94,99,95.33,0,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True
5,3,1,2,3,71,76,70,72.33,2,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
2,3,2,2,0,69,63,61,64.33,3,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True
5,2,2,1,1,57,48,42,49.0,4,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False
1,2,2,2,0,48,53,59,53.33,4,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
5,3,1,2,0,65,70,71,68.67,3,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False
5,0,2,1,1,85,83,74,80.67,1,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True
2,3,1,3,0,83,78,73,78.0,2,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True
6,3,2,3,1,82,90,91,87.67,1,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False
